Geography,Year,Gender,Age,Value
City of Melbourne,2020,Female,Age 0-4,2683
City of Melbourne,2021,Female,Age 0-4,2945
City of Melbourne,2022,Female,Age 0-4,3212
City of Melbourne,2023,Female,Age 0-4,3515
City of Melbourne,2024,Female,Age 0-4,3833
City of Melbourne,2025,Female,Age 0-4,4141
City of Melbourne,2026,Female,Age 0-4,4400
City of Melbourne,2027,Female,Age 0-4,4659
City of Melbourne,2028,Female,Age 0-4,4900
City of Melbourne,2029,Female,Age 0-4,5119
City of Melbourne,2030,Female,Age 0-4,5329
City of Melbourne,2031,Female,Age 0-4,5537
City of Melbourne,2032,Female,Age 0-4,5722
City of Melbourne,2033,Female,Age 0-4,5882
City of Melbourne,2034,Female,Age 0-4,6021
City of Melbourne,2035,Female,Age 0-4,6130
City of Melbourne,2036,Female,Age 0-4,6220
City of Melbourne,2037,Female,Age 0-4,6295
City of Melbourne,2038,Female,Age 0-4,6372
City of Melbourne,2039,Female,Age 0-4,6437
City of Melbourne,2040,Female,Age 0-4,6460
City of Melbourne,2020,Male,Age 0-4,2642
City of Melbourne,2021,Male,Age 0-4,2901
City of Melbourne,2022,Male,Age 0-4,3164
City of Melbourne,2023,Male,Age 0-4,3463
City of Melbourne,2024,Male,Age 0-4,3776
City of Melbourne,2025,Male,Age 0-4,4079
City of Melbourne,2026,Male,Age 0-4,4334
City of Melbourne,2027,Male,Age 0-4,4589
City of Melbourne,2028,Male,Age 0-4,4827
City of Melbourne,2029,Male,Age 0-4,5043
City of Melbourne,2030,Male,Age 0-4,5249
City of Melbourne,2031,Male,Age 0-4,5454
City of Melbourne,2032,Male,Age 0-4,5636
City of Melbourne,2033,Male,Age 0-4,5794
City of Melbourne,2034,Male,Age 0-4,5931
City of Melbourne,2035,Male,Age 0-4,6039
City of Melbourne,2036,Male,Age 0-4,6127
City of Melbourne,2037,Male,Age 0-4,6201
City of Melbourne,2038,Male,Age 0-4,6277
City of Melbourne,2039,Male,Age 0-4,6340
City of Melbourne,2040,Male,Age 0-4,6364
City of Melbourne,2020,Female,Age 5-9,1689
City of Melbourne,2021,Female,Age 5-9,1713
City of Melbourne,2022,Female,Age 5-9,1776
City of Melbourne,2023,Female,Age 5-9,1857
City of Melbourne,2024,Female,Age 5-9,1939
City of Melbourne,2025,Female,Age 5-9,2081
City of Melbourne,2026,Female,Age 5-9,2338
City of Melbourne,2027,Female,Age 5-9,2580
City of Melbourne,2028,Female,Age 5-9,2833
City of Melbourne,2029,Female,Age 5-9,3109
City of Melbourne,2030,Female,Age 5-9,3373
City of Melbourne,2031,Female,Age 5-9,3590
City of Melbourne,2032,Female,Age 5-9,3806
City of Melbourne,2033,Female,Age 5-9,4003
City of Melbourne,2034,Female,Age 5-9,4178
City of Melbourne,2035,Female,Age 5-9,4346
City of Melbourne,2036,Female,Age 5-9,4513
City of Melbourne,2037,Female,Age 5-9,4660
City of Melbourne,2038,Female,Age 5-9,4784
City of Melbourne,2039,Female,Age 5-9,4889
City of Melbourne,2040,Female,Age 5-9,4966
City of Melbourne,2020,Male,Age 5-9,1758
City of Melbourne,2021,Male,Age 5-9,1783
City of Melbourne,2022,Male,Age 5-9,1850
City of Melbourne,2023,Male,Age 5-9,1933
City of Melbourne,2024,Male,Age 5-9,2020
City of Melbourne,2025,Male,Age 5-9,2167
City of Melbourne,2026,Male,Age 5-9,2435
City of Melbourne,2027,Male,Age 5-9,2686
City of Melbourne,2028,Male,Age 5-9,2950
City of Melbourne,2029,Male,Age 5-9,3237
City of Melbourne,2030,Male,Age 5-9,3513
City of Melbourne,2031,Male,Age 5-9,3739
City of Melbourne,2032,Male,Age 5-9,3963
City of Melbourne,2033,Male,Age 5-9,4168
City of Melbourne,2034,Male,Age 5-9,4350
City of Melbourne,2035,Male,Age 5-9,4526
City of Melbourne,2036,Male,Age 5-9,4699
City of Melbourne,2037,Male,Age 5-9,4852
City of Melbourne,2038,Male,Age 5-9,4982
City of Melbourne,2039,Male,Age 5-9,5091
City of Melbourne,2040,Male,Age 5-9,5171
City of Melbourne,2020,Female,Age 10-14,1309
City of Melbourne,2021,Female,Age 10-14,1303
City of Melbourne,2022,Female,Age 10-14,1304
City of Melbourne,2023,Female,Age 10-14,1312
City of Melbourne,2024,Female,Age 10-14,1289
City of Melbourne,2025,Female,Age 10-14,1304
City of Melbourne,2026,Female,Age 10-14,1274
City of Melbourne,2027,Female,Age 10-14,1287
City of Melbourne,2028,Female,Age 10-14,1331
City of Melbourne,2029,Female,Age 10-14,1396
City of Melbourne,2030,Female,Age 10-14,1519
City of Melbourne,2031,Female,Age 10-14,1756
City of Melbourne,2032,Female,Age 10-14,1976
City of Melbourne,2033,Female,Age 10-14,2209
City of Melbourne,2034,Female,Age 10-14,2464
City of Melbourne,2035,Female,Age 10-14,2709
City of Melbourne,2036,Female,Age 10-14,2906
City of Melbourne,2037,Female,Age 10-14,3103
City of Melbourne,2038,Female,Age 10-14,3282
City of Melbourne,2039,Female,Age 10-14,3440
City of Melbourne,2040,Female,Age 10-14,3591
City of Melbourne,2020,Male,Age 10-14,1378
City of Melbourne,2021,Male,Age 10-14,1372
City of Melbourne,2022,Male,Age 10-14,1372
City of Melbourne,2023,Male,Age 10-14,1381
City of Melbourne,2024,Male,Age 10-14,1357
City of Melbourne,2025,Male,Age 10-14,1372
City of Melbourne,2026,Male,Age 10-14,1341
City of Melbourne,2027,Male,Age 10-14,1355
City of Melbourne,2028,Male,Age 10-14,1401
