Geography,Suburb,Couple no children,Couple children under 15,One parent with children under 15,Families children under 15
Carlton,CARLTON,1496,363,151,514
Docklands,DOCKLANDS,2535,780,120,900
East Melbourne,EAST MELBOURNE,858,149,45,194
Kensington,KENSINGTON,1294,766,166,932
Melbourne,MELBOURNE,7090,1253,1572,2825
North Melbourne,NORTH MELBOURNE,1527,723,292,1015
Parkville,PARKVILLE,558,232,50,282
Port Melbourne,PORT MELBOURNE,2251,1171,301,1472
South Yarra,SOUTH YARRA,3578,843,256,1099
Southbank,SOUTHBANK,3604,780,205,985
West Melbourne,WEST MELBOURNE,1189,352,55,407
