Geography,Suburb,0-4 years,5-14 years,15-19 years,20-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total
Carlton,CARLTON,310,555,1017,3888,5423,1736,966,809,680,447,217,16048
Docklands,DOCKLANDS,695,513,248,1564,6036,2891,1397,1204,695,207,42,15492
East Melbourne,EAST MELBOURNE,110,176,92,275,1144,786,552,663,651,324,119,4892
Kensington,KENSINGTON,630,932,363,757,2550,2138,1334,959,666,296,134,10759
Melbourne,MELBOURNE,1079,1213,1928,11553,21067,8110,3722,2792,2042,1040,405,54951
North Melbourne,NORTH MELBOURNE,548,1186,704,2066,4283,2355,1472,1105,779,333,126,14957
Parkville,PARKVILLE,178,292,1238,1519,1654,724,415,365,321,222,149,7077
Port Melbourne,PORT MELBOURNE,836,1591,681,701,2713,3128,2905,2242,1671,924,240,17632
South Yarra,SOUTH YARRA,690,1070,745,2184,8542,4185,2443,2095,1692,1024,360,25030
Southbank,SOUTHBANK,693,651,454,2853,9417,4209,1741,1313,870,358,65,22624
West Melbourne,WEST MELBOURNE,250,336,227,1098,3248,1377,697,435,245,91,15,8019
