Geography,Suburb,Gender,Age,Value,,
Carlton,CARLTON,Male,0-4 years,166,,
Carlton,CARLTON,Male,5-14 years,304,,
Carlton,CARLTON,Male,15-19 years,448,,
Carlton,CARLTON,Male,20-24 years,1865,,
Carlton,CARLTON,Male,25-34 years,2727,,
Carlton,CARLTON,Male,35-44 years,908,,
Carlton,CARLTON,Male,45-54 years,470,,
Carlton,CARLTON,Male,55-64 years,367,,
Carlton,CARLTON,Male,65-74 years,313,,
Carlton,CARLTON,Male,75-84 years,210,,
Carlton,CARLTON,Male,85 years and over,84,,
Carlton,CARLTON,Female,0-4 years,145,,
Carlton,CARLTON,Female,5-14 years,254,,
Carlton,CARLTON,Female,15-19 years,573,,
Carlton,CARLTON,Female,20-24 years,2024,,
Carlton,CARLTON,Female,25-34 years,2697,,
Carlton,CARLTON,Female,35-44 years,828,,
Carlton,CARLTON,Female,45-54 years,492,,
Carlton,CARLTON,Female,55-64 years,445,,
Carlton,CARLTON,Female,65-74 years,371,,
Carlton,CARLTON,Female,75-84 years,238,,
Carlton,CARLTON,Female,85 years and over,132,,
Docklands,DOCKLANDS,Male,0-4 years,359,,
Docklands,DOCKLANDS,Male,5-14 years,266,,
Docklands,DOCKLANDS,Male,15-19 years,118,,
Docklands,DOCKLANDS,Male,20-24 years,770,,
Docklands,DOCKLANDS,Male,25-34 years,3083,,
Docklands,DOCKLANDS,Male,35-44 years,1601,,
Docklands,DOCKLANDS,Male,45-54 years,733,,
Docklands,DOCKLANDS,Male,55-64 years,604,,
Docklands,DOCKLANDS,Male,65-74 years,375,,
Docklands,DOCKLANDS,Male,75-84 years,107,,
Docklands,DOCKLANDS,Male,85 years and over,22,,
Docklands,DOCKLANDS,Female,0-4 years,328,,
Docklands,DOCKLANDS,Female,5-14 years,252,,
Docklands,DOCKLANDS,Female,15-19 years,124,,
Docklands,DOCKLANDS,Female,20-24 years,796,,
Docklands,DOCKLANDS,Female,25-34 years,2952,,
Docklands,DOCKLANDS,Female,35-44 years,1290,,
Docklands,DOCKLANDS,Female,45-54 years,664,,
Docklands,DOCKLANDS,Female,55-64 years,600,,
Docklands,DOCKLANDS,Female,65-74 years,322,,
Docklands,DOCKLANDS,Female,75-84 years,104,,
